Symbol,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit/Loss,Status,Type,timestamp,open,high,low,close,volume,sma_20,sma_50,ema_20,ema_50,wma,macd,macd_signal,macd_diff,adx,cci,dpo,kst,kst_sig,ichimoku_conv,ichimoku_base,ichimoku_a,ichimoku_b,aroon_up,aroon_down,stc,rsi,stoch,stoch_signal,tsi,uo,wr,ao,kama,atr,bb_high,bb_low,bb_mavg,bb_width,kc_high,kc_low,dc_high,dc_low,obv,cmf,fi,eom,vpt,nvi,vwap,Win/Lose
BTC/USDT,1h,27,7129.61,41,6970.04,-159.5699999999997,Closed,long,2020-01-02 03:00:00,7169.04,7169.06,7120.37,7129.61,1557.96443,7210.6375,,7202.026922163093,,7198.964285714286,-7.44159174419201,,,24.628087753394063,-204.5989494321348,34.73250000000007,-161.21177607521736,-212.76618063597184,7181.674999999999,7187.685,7184.679999999999,7187.685,14.285714285714285,100.0,,28.31411908115534,6.863254846616486,13.472820877471422,,,-93.13674515338352,,7182.860288906254,29.45581575438849,7265.62289074154,7155.65210925846,7210.6375,1.5251187080626356,7240.390499999999,7181.423499999999,7255.0,7120.37,-1487.0548149999995,-0.0349457740215458,-13496.116851624703,-88944097.39508727,-9.26672134640227,1009.5790778879244,7205.425555826578,Lose
BTC/USDT,1h,50,6956.88,52,7210.19,-253.3099999999995,Closed,short,2020-01-03 02:00:00,6888.26,6966.8,6871.04,6956.88,2869.993553,7045.683999999999,7142.092,7025.287808909237,7100.961863435145,6967.004095238095,-63.72891891362451,-54.76394327781284,-8.964975635811669,54.46810008870081,-72.25201104398336,85.29600000000028,-28.324889162700817,-24.589325009895905,6933.02,7041.1,6987.06,7063.02,0.0,100.0,,35.89078394853357,29.36608395196881,14.177763679187883,-35.105099506686926,51.42787703075668,-70.6339160480312,-166.43179411764777,6961.144536395008,47.17367893459468,7231.058559678502,6860.309440321496,7045.683999999999,5.262074191192876,7095.820333333332,6997.328333333334,7180.0,6871.04,-13270.122067,-0.0951784523266659,-18204.895717098643,22655465.52605937,-117.72808332693448,1015.7475037044138,6997.5091950738215,Lose
BTC/USDT,1h,57,7348.42,122,7551.44,-203.0199999999996,Closed,short,2020-01-03 09:00:00,7260.64,7358.88,7256.56,7348.42,5469.030632,7064.6415,7138.8138,7121.995935621391,7126.810804682005,7143.321904761905,35.63421206344083,-8.615863894494662,44.25007595793549,47.054510269149326,126.2242150985152,-89.84149999999954,-6.994506306889681,-21.126562047791182,7114.96,7114.96,7114.96,7114.96,100.0,50.0,,72.22807454978465,97.85585437848476,91.20866936244003,16.857907927468275,68.43290623897373,-2.144145621515258,139.0802352941173,7152.635020136593,67.64563820058534,7327.808981598693,6801.474018401306,7064.6415,7.450271371836589,7132.358499999999,6988.6805,7358.88,6871.04,8175.639951999999,0.1672476759295886,252813.6800060532,108390491.8234516,334.41500281797903,1013.9188279103474,7135.427321093267,Lose
BTC/USDT,1h,142,7712.63,144,7888.42,-175.78999999999996,Closed,short,2020-01-06 22:00:00,7578.42,7752.0,7574.39,7712.63,6546.730323,7549.6175,7475.960599999999,7544.419835541294,7477.679689581899,7569.030380952381,39.24744780748733,31.260423305989924,7.987024501497409,24.85556485963044,386.1448427674955,-4.897500000000036,14.24222552530062,14.190886988585063,7628.51,7535.0,7581.755,7517.505,100.0,35.714285714285715,28.287070247098992,75.08114923157157,86.26116694584037,71.07828371878897,25.13241026363272,63.2165629848658,-13.73883305415963,78.9807058823526,7540.64549752634,56.212227577129816,7631.095407895297,7468.139592104703,7549.6175,2.1584645287075004,7600.400500000001,7492.950500000001,7752.0,7465.44,27328.730546000003,0.1944972793980106,136786.12504978263,231727250.1160266,588.5254318348234,1015.9997907826164,7575.299701388479,Lose
BTC/USDT,1h,153,7856.26,168,8431.82,575.5599999999995,Closed,long,2020-01-07 09:00:00,7884.32,7886.17,7855.0,7856.26,1266.181976,7731.034999999999,7574.060600000001,7761.995504662961,7617.080332120267,7858.373047619048,99.05285528997138,94.24443602600776,4.808419263963614,44.25700507657893,37.02456329116922,-18.40499999999884,45.73857655941824,35.56080992586782,7880.5,7732.719999999999,7806.61,7659.0,35.714285714285715,0.0,99.95457651744611,69.58624502131553,69.09481831864122,73.40555568604567,48.68482752258754,49.35735374671577,-30.905181681358776,232.00164705882253,7861.421874060778,58.52551084568394,8048.518272283738,7413.55172771626,7731.034999999999,8.213215236607754,7790.6083333333345,7667.063333333334,8000.0,7505.02,46468.114565,0.0940222831808525,82195.37253290428,-38833813.72663008,819.3414409996412,1023.3911054230308,7818.649104732919,Win
BTC/USDT,1h,170,8278.59,185,8077.68,-200.90999999999983,Closed,long,2020-01-08 02:00:00,8370.93,8422.0,8256.74,8278.59,4558.246276,8007.278,7780.7822,8047.791212451911,7837.191979541986,8155.700761904762,146.85265916195203,116.01715074612164,30.83550841583039,43.17966198165816,117.47494288538788,-242.6880000000001,50.21035824864524,40.2903943479291,8187.110000000001,8089.355,8138.2325,7888.0,85.71428571428571,28.57142857142857,99.33759032352896,65.97506633752323,75.87687511110505,87.0698810777302,39.49973208451985,58.8522774302085,-24.12312488889495,337.8188823529408,8110.308481723006,122.35652371776122,8371.12077871628,7643.43522128372,8007.278,9.087801840182893,8119.609666666666,7884.386666666665,8455.0,7723.71,67335.58834099998,0.1003381477391499,342134.001923928,-178176039.82395998,1373.5038451508044,1013.7937706222552,8103.6467863154385,Lose
BTC/USDT,1h,239,8197.02,313,8431.83,-234.8099999999995,Closed,short,2020-01-10 23:00:00,8090.13,8199.0,8064.64,8197.02,2429.200597,7915.1435,7902.0226,7972.549706005128,7934.600148509214,8042.281333333332,68.42512540612915,36.200942244749896,32.22418316137926,36.04151344072815,126.51775629526284,-21.163500000000568,22.31811979918645,6.166559006295289,8054.49,7935.5,7994.995,7935.5,100.0,7.142857142857142,99.9938981607382,70.4322784293102,99.62428842504752,89.89847518364563,23.14252934543956,62.48255008553444,-0.3757115749524788,192.86285294117715,8009.373485825087,103.26037554335927,8206.316358163314,7623.970641836686,7915.1435,7.357361446783983,8009.816833333333,7806.758833333333,8199.0,7672.0,53321.15670399995,0.1720173264677218,91870.24674721896,498318838.5080084,1147.9861662275848,1027.1140499464811,7971.83038543197,Lose
BTC/USDT,1h,332,8688.19,433,9146.02,457.8299999999999,Closed,long,2020-01-14 20:00:00,8765.51,8766.93,8670.0,8688.19,2457.558858,8576.7795,8303.0042,8566.374298517047,8380.097746776866,8672.267999999998,132.1640017789341,124.32457194886324,7.839429830070856,58.97795527646142,70.86269667227411,-72.04950000000099,55.46644386266455,50.49506573081909,8665.0,8475.5,8570.25,8452.945,85.71428571428571,0.0,99.9999970198031,69.10063973988932,57.418421052631714,71.88550184211061,55.21448473018895,64.69120830990597,-42.581578947368286,324.9587941176451,8691.380003315222,103.61087789032028,8802.870634852608,8350.688365147393,8576.7795,5.272168530218314,8676.411833333334,8457.609833333332,8850.0,8268.57,74404.002176,0.2990170054324828,134641.5801931316,-45121165.51716641,1705.147726479638,1024.5710634286415,8641.303027133696,Win
BTC/USDT,1h,438,9073.12,443,8681.44,-391.6800000000003,Closed,long,2020-01-19 06:00:00,9129.98,9147.56,9050.0,9073.12,2264.534614,8980.1005,8926.5384,9009.748869210029,8923.187411409113,9063.650571428572,64.93095860807625,48.06214272612661,16.868815881949644,19.511790914083058,51.86992888195158,-72.17050000000017,16.79482774101692,8.243423727996905,9043.5,9002.68,9023.09,8975.015,78.57142857142857,0.0,99.76360178909442,60.93453095745992,61.49068322981403,75.94837650486063,31.81937560849918,61.66443892014722,-38.50931677018597,197.93702941176343,9077.670843974603,66.22874061027618,9190.193695651133,8770.007304348868,8980.1005,4.679083394470522,9037.670166666669,8916.665166666666,9198.98,8848.8,87208.56093199998,0.1579168754374338,78162.06783993251,-153435473.1660573,1774.7439204845805,1081.2542698445516,9050.070515673056,Lose
BTC/USDT,1h,449,8658.74,554,8300.76,357.9799999999996,Closed,short,2020-01-19 17:00:00,8644.91,8666.6,8618.88,8658.74,1223.767871,8921.738500000001,8907.7402,8834.022210818113,8870.884804576557,8757.061142857143,-84.46709276783622,-36.71460621734087,-47.75248655049535,32.18463889002096,-66.28114577826994,151.3814999999995,-12.804591455682464,6.506092531448342,8825.78,8861.59,8843.685000000001,8861.59,0.0,57.14285714285714,0.7205448751076834,30.81297717706036,20.99563046192248,18.280739165899003,-29.106701771021964,44.64872331128193,-79.00436953807753,-282.99982352941333,8667.623978071815,85.60062340600679,9352.541091276922,8490.93590872308,8921.738500000001,9.657368712990651,9013.1105,8830.0655,9198.98,8524.2,72729.73419799999,0.0370170012063077,-320522.8816575501,-1111338.2139114344,1117.5464380651515,1075.3841628398504,8804.6430273167,Win
